open,high,low,close,time
69134.91000000,69146.92000000,68951.00000000,68993.22000000,2024-05-26T17:00:00
68993.21000000,69136.15000000,68950.00000000,69136.14000000,2024-05-26T18:00:00
69136.15000000,69312.30000000,69042.26000000,69287.12000000,2024-05-26T19:00:00
69287.11000000,69399.00000000,68668.60000000,68847.99000000,2024-05-26T20:00:00
68847.98000000,68973.15000000,68692.11000000,68808.62000000,2024-05-26T21:00:00
68808.61000000,68906.96000000,68731.36000000,68778.14000000,2024-05-26T22:00:00
68778.14000000,68842.80000000,68717.61000000,68800.16000000,2024-05-26T23:00:00
68800.15000000,68916.22000000,68800.15000000,68903.54000000,2024-05-27T00:00:00
68903.53000000,68911.56000000,68720.66000000,68720.84000000,2024-05-27T01:00:00
68720.85000000,68720.85000000,68128.01000000,68518.02000000,2024-05-27T02:00:00
68518.02000000,68700.65000000,68464.00000000,68560.00000000,2024-05-27T03:00:00
68560.01000000,68569.88000000,68344.00000000,68507.67000000,2024-05-27T04:00:00
68507.67000000,68821.72000000,68481.31000000,68821.71000000,2024-05-27T05:00:00
68821.72000000,69298.00000000,68740.75000000,69074.01000000,2024-05-27T06:00:00
69074.02000000,69288.44000000,69020.49000000,69111.35000000,2024-05-27T07:00:00
69111.34000000,69212.00000000,68826.91000000,68873.43000000,2024-05-27T08:00:00
68873.43000000,68901.74000000,68764.71000000,68770.01000000,2024-05-27T09:00:00
68770.00000000,68784.40000000,68321.95000000,68524.61000000,2024-05-27T10:00:00
68524.60000000,68621.54000000,68393.23000000,68393.23000000,2024-05-27T11:00:00
68393.23000000,68721.02000000,68341.84000000,68643.36000000,2024-05-27T12:00:00
68643.36000000,68944.20000000,68521.52000000,68624.00000000,2024-05-27T13:00:00
68624.01000000,68660.09000000,68430.95000000,68595.37000000,2024-05-27T14:00:00
68595.36000000,68598.48000000,68422.08000000,68577.79000000,2024-05-27T15:00:00
68577.79000000,68679.80000000,68250.00000000,68434.26000000,2024-05-27T16:00:00
68434.26000000,68643.25000000,68384.00000000,68621.42000000,2024-05-27T17:00:00
68621.43000000,69045.80000000,68601.30000000,68919.24000000,2024-05-27T18:00:00
68919.24000000,69500.00000000,68828.80000000,69500.00000000,2024-05-27T19:00:00
69500.00000000,70520.30000000,69499.99000000,70373.85000000,2024-05-27T20:00:00
70373.86000000,70687.56000000,70153.45000000,70161.22000000,2024-05-27T21:00:00
70161.21000000,70350.00000000,70029.93000000,70184.01000000,2024-05-27T22:00:00
70184.00000000,70250.00000000,69882.11000000,69985.50000000,2024-05-27T23:00:00
69985.49000000,70113.35000000,69069.00000000,69260.01000000,2024-05-28T00:00:00
69260.02000000,69724.21000000,69177.01000000,69660.01000000,2024-05-28T01:00:00
69660.00000000,69887.90000000,69589.99000000,69805.00000000,2024-05-28T02:00:00
69805.01000000,69805.01000000,69555.81000000,69591.58000000,2024-05-28T03:00:00
69591.59000000,69591.59000000,69324.00000000,69436.43000000,2024-05-28T04:00:00
69436.43000000,69472.99000000,69100.00000000,69377.41000000,2024-05-28T05:00:00
69377.40000000,69591.81000000,68515.86000000,68614.11000000,2024-05-28T06:00:00
68614.11000000,68842.36000000,68420.03000000,68680.00000000,2024-05-28T07:00:00
68680.01000000,68738.48000000,67753.00000000,68050.30000000,2024-05-28T08:00:00
68050.30000000,68134.00000000,67486.65000000,67797.29000000,2024-05-28T09:00:00
67797.28000000,68049.67000000,67660.00000000,68049.67000000,2024-05-28T10:00:00
68049.67000000,68093.49000000,67787.00000000,67972.80000000,2024-05-28T11:00:00
67972.79000000,68030.00000000,67658.24000000,67694.00000000,2024-05-28T12:00:00
67694.01000000,68250.00000000,67582.13000000,68159.99000000,2024-05-28T13:00:00
68160.00000000,68523.99000000,68024.57000000,68336.24000000,2024-05-28T14:00:00
68336.24000000,68902.71000000,68249.99000000,68592.01000000,2024-05-28T15:00:00
68592.01000000,68665.59000000,68265.01000000,68389.87000000,2024-05-28T16:00:00
68389.87000000,68559.99000000,68154.21000000,68208.63000000,2024-05-28T17:00:00
68208.64000000,68478.45000000,67659.93000000,67792.00000000,2024-05-28T18:00:00
67792.00000000,68253.99000000,67529.62000000,67969.00000000,2024-05-28T19:00:00
67968.99000000,68460.53000000,67728.78000000,68374.08000000,2024-05-28T20:00:00
68374.08000000,68457.19000000,67713.02000000,67713.22000000,2024-05-28T21:00:00
67713.22000000,68159.54000000,67640.46000000,67782.67000000,2024-05-28T22:00:00
67782.68000000,67992.78000000,67277.91000000,67879.43000000,2024-05-28T23:00:00
67879.42000000,68598.33000000,67864.01000000,68424.29000000,2024-05-29T00:00:00
68424.28000000,68538.92000000,68124.04000000,68325.86000000,2024-05-29T01:00:00
68325.86000000,68550.00000000,68257.81000000,68401.47000000,2024-05-29T02:00:00
68401.47000000,68661.28000000,68383.77000000,68615.40000000,2024-05-29T03:00:00
68615.39000000,68620.92000000,68346.78000000,68398.39000000,2024-05-29T04:00:00
68398.40000000,68605.10000000,68266.04000000,68496.00000000,2024-05-29T05:00:00
68495.99000000,68707.58000000,68310.00000000,68570.00000000,2024-05-29T06:00:00
68570.00000000,68923.00000000,68454.97000000,68684.60000000,2024-05-29T07:00:00
68684.60000000,68884.82000000,68681.38000000,68829.42000000,2024-05-29T08:00:00
68829.41000000,68935.68000000,68760.00000000,68843.53000000,2024-05-29T09:00:00
68843.53000000,68843.53000000,68572.66000000,68584.73000000,2024-05-29T10:00:00
68584.72000000,68667.72000000,68465.60000000,68513.33000000,2024-05-29T11:00:00
68513.32000000,68534.35000000,67936.35000000,67946.90000000,2024-05-29T12:00:00
67946.89000000,67999.92000000,67602.34000000,67872.41000000,2024-05-29T13:00:00
67872.41000000,68033.33000000,67685.45000000,67905.72000000,2024-05-29T14:00:00
67905.72000000,68024.00000000,67802.95000000,67989.89000000,2024-05-29T15:00:00
67989.90000000,68001.25000000,67736.23000000,67763.59000000,2024-05-29T16:00:00
67763.59000000,68023.97000000,67567.21000000,67898.15000000,2024-05-29T17:00:00
67898.14000000,68280.00000000,67569.55000000,67879.99000000,2024-05-29T18:00:00
67879.99000000,67952.39000000,67500.00000000,67635.01000000,2024-05-29T19:00:00
67635.01000000,67855.69000000,67262.34000000,67379.13000000,2024-05-29T20:00:00
67379.13000000,67720.00000000,67124.65000000,67555.18000000,2024-05-29T21:00:00
67555.18000000,67680.00000000,67329.99000000,67611.12000000,2024-05-29T22:00:00
67611.12000000,67623.10000000,67222.22000000,67392.83000000,2024-05-29T23:00:00
67392.82000000,67742.00000000,67216.01000000,67266.78000000,2024-05-30T00:00:00
67266.78000000,67494.57000000,67151.35000000,67485.76000000,2024-05-30T01:00:00
67485.76000000,67810.00000000,67325.08000000,67700.42000000,2024-05-30T02:00:00
67700.42000000,67826.09000000,67605.94000000,67680.01000000,2024-05-30T03:00:00
67680.01000000,67731.59000000,67576.06000000,67652.42000000,2024-05-30T04:00:00
67652.41000000,67843.32000000,67551.46000000,67583.00000000,2024-05-30T05:00:00
67582.99000000,67862.20000000,67471.67000000,67800.00000000,2024-05-30T06:00:00
67800.00000000,68199.97000000,67788.95000000,67949.10000000,2024-05-30T07:00:00
67949.11000000,68182.42000000,67924.00000000,68118.20000000,2024-05-30T08:00:00
68118.20000000,68422.89000000,67984.01000000,68163.00000000,2024-05-30T09:00:00
68163.00000000,68195.00000000,67967.66000000,68134.14000000,2024-05-30T10:00:00
68134.13000000,68180.46000000,67728.20000000,67831.25000000,2024-05-30T11:00:00
67831.24000000,68037.22000000,67508.42000000,67584.56000000,2024-05-30T12:00:00
67584.57000000,67769.11000000,67128.00000000,67688.96000000,2024-05-30T13:00:00
67688.96000000,67759.99000000,67459.96000000,67745.94000000,2024-05-30T14:00:00
67745.94000000,67991.00000000,67541.82000000,67942.08000000,2024-05-30T15:00:00
67942.08000000,68100.00000000,67815.00000000,67817.01000000,2024-05-30T16:00:00
67817.01000000,68305.55000000,67755.00000000,68133.34000000,2024-05-30T17:00:00
68133.34000000,68678.76000000,68050.00000000,68623.99000000,2024-05-30T18:00:00
68623.99000000,68826.31000000,68256.29000000,68359.60000000,2024-05-30T19:00:00
68359.60000000,68612.00000000,68144.00000000,68530.76000000,2024-05-30T20:00:00
68530.77000000,68691.64000000,68384.00000000,68676.00000000,2024-05-30T21:00:00
68676.00000000,69500.00000000,68664.00000000,69315.10000000,2024-05-30T22:00:00
69315.10000000,69420.00000000,69084.00000000,69360.13000000,2024-05-30T23:00:00
69360.13000000,69366.46000000,68435.00000000,68653.02000000,2024-05-31T00:00:00
68653.02000000,68657.41000000,68050.01000000,68475.99000000,2024-05-31T01:00:00
68475.99000000,68534.00000000,68324.00000000,68416.76000000,2024-05-31T02:00:00
